Player Name,Position,Sold Price,Sold To
L. Modrić,MID,20,ICHAPUR INVINCIBLES
Bernardo Silva,MID,15,ICHAPUR INVINCIBLES
H. Lloris,GK,15,ICHAPUR INVINCIBLES
L. Martínez,ATT,9,ICHAPUR INVINCIBLES
Sergio Busquets,MID,16,ICHAPUR INVINCIBLES
N. Fekir,MID,13,ICHAPUR INVINCIBLES
Jordi Alba,DEF,6,ICHAPUR INVINCIBLES
Rafael Leão,ATT,3,ICHAPUR INVINCIBLES
E. Hazard,ATT,7,ICHAPUR INVINCIBLES
A. Bastoni,DEF,20,ICHAPUR INVINCIBLES
Marcos Llorente,MID,19,ICHAPUR INVINCIBLES
F. Valverde,MID,12,ICHAPUR INVINCIBLES
R. Varane,DEF,3,ICHAPUR INVINCIBLES
J. Matip,DEF,3,ICHAPUR INVINCIBLES
A. Griezmann,ATT,17,ICHAPUR INVINCIBLES
O. Giroud,ATT,4,ICHAPUR INVINCIBLES
L. Messi,ATT,37,ICHAPUR INVINCIBLES
Ansu Fati,ATT,2,ICHAPUR INVINCIBLES
E. Haaland,ATT,18,KRISHNANAGAR CITY JUNCTION FC
T. Kroos,MID,18,KRISHNANAGAR CITY JUNCTION FC
A. Rüdiger,DEF,21,KRISHNANAGAR CITY JUNCTION FC
P. Foden,ATT,12,KRISHNANAGAR CITY JUNCTION FC
S. Gnabry,MID,6,KRISHNANAGAR CITY JUNCTION FC
T. Hernández,DEF,18,KRISHNANAGAR CITY JUNCTION FC
Raphinha,ATT,9,KRISHNANAGAR CITY JUNCTION FC
J. Koundé,DEF,7,KRISHNANAGAR CITY JUNCTION FC
M. Diaby,MID,19,KRISHNANAGAR CITY JUNCTION FC
D. Rice,MID,7,KRISHNANAGAR CITY JUNCTION FC
J. Bellingham,MID,8,KRISHNANAGAR CITY JUNCTION FC
G. Di Lorenzo,DEF,9,KRISHNANAGAR CITY JUNCTION FC
R. Araújo,DEF,7,KRISHNANAGAR CITY JUNCTION FC
M. Neuer,GK,18,KRISHNANAGAR CITY JUNCTION FC
N. Kanté,MID,17,KRISHNANAGAR CITY JUNCTION FC
H. Son,ATT,27,KRISHNANAGAR CITY JUNCTION FC
Rodri,MID,18,KAMARHATI KNIGHTS
S. Milinković-Savić,MID,10,KAMARHATI KNIGHTS
Parejo,MID,7,KAMARHATI KNIGHTS
A. Laporte,DEF,11,KAMARHATI KNIGHTS
M. Škriniar,DEF,13,KAMARHATI KNIGHTS
R. Sterling,ATT,12,KAMARHATI KNIGHTS
