Player Name,Position,Sold Price,Sold To
J. Oblak,GK,12,KAMARHATI KNIGHTS
De Gea,GK,12,KAMARHATI KNIGHTS
T. Alexander-Arnold,DEF,21,KAMARHATI KNIGHTS
M. Škriniar,DEF,14,KAMARHATI KNIGHTS
M. de Ligt,DEF,9,KAMARHATI KNIGHTS
L. Hernández,DEF,6,KAMARHATI KNIGHTS
Sergio Ramos,DEF,9,BAGHBAZAR TIGERS
Bremer,DEF,4,KAMARHATI KNIGHTS
J. Cuadrado,DEF,5,KAMARHATI KNIGHTS
T. Kroos,MID,17,KAMARHATI KNIGHTS
Rodri,MID,16,KAMARHATI KNIGHTS
M. Brozović,MID,11,KAMARHATI KNIGHTS
Bruno Fernandes,MID,15,KAMARHATI KNIGHTS
M. Asensio,MID,4,KAMARHATI KNIGHTS
B. Saka,MID,3,KAMARHATI KNIGHTS
H. Son,ATT,25,KAMARHATI KNIGHTS
E. Haaland,ATT,15,KAMARHATI KNIGHTS
R. Lukaku,ATT,8,KAMARHATI KNIGHTS
M. Depay,ATT,8,KAMARHATI KNIGHTS
P. Aubameyang,ATT,6,KAMARHATI KNIGHTS
T. Courtois,GK,25,ICHAPUR INVINCIBLES
A. Rüdiger,DEF,12,ICHAPUR INVINCIBLES
F. Tomori,DEF,14,ICHAPUR INVINCIBLES
F. Mendy,DEF,12,ICHAPUR INVINCIBLES
W. Saliba,DEF,1,ICHAPUR INVINCIBLES
K. De Bruyne,MID,29,ICHAPUR INVINCIBLES
S. Milinković-Savić,MID,16,ICHAPUR INVINCIBLES
K. Coman,MID,8,ICHAPUR INVINCIBLES
Pedri,MID,12,ICHAPUR INVINCIBLES
Marcos Llorente,MID,20,ICHAPUR INVINCIBLES
M. Diaby,MID,14,ICHAPUR INVINCIBLES
Neymar Jr,ATT,17,DAKSHINESHWAR DELTAS
Darwin Núñez,ATT,12,ICHAPUR INVINCIBLES
D. Vlahović,ATT,14,ICHAPUR INVINCIBLES
L. Díaz,ATT,10,ICHAPUR INVINCIBLES
Ansu Fati,ATT,2,ICHAPUR INVINCIBLES
G. Donnarumma,GK,11,KRISHNANAGAR CITY JUNCTION FC
V. van Dijk,DEF,23,KRISHNANAGAR CITY JUNCTION FC
Marquinhos,DEF,10,KRISHNANAGAR CITY JUNCTION FC
A. Robertson,DEF,15,KRISHNANAGAR CITY JUNCTION FC
R. James,DEF,5,KRISHNANAGAR CITY JUNCTION FC
Éder Militão,DEF,8,KRISHNANAGAR CITY JUNCTION FC
R. Varane,DEF,5,KRISHNANAGAR CITY JUNCTION FC
Bernardo Silva,MID,9,KRISHNANAGAR CITY JUNCTION FC
F. de Jong,MID,13,KRISHNANAGAR CITY JUNCTION FC
S. Gnabry,MID,3,KRISHNANAGAR CITY JUNCTION FC
S. Tonali,MID,6,KRISHNANAGAR CITY JUNCTION FC
A. Tchouaméni,MID,1,KRISHNANAGAR CITY JUNCTION FC
L. Messi,ATT,27,KRISHNANAGAR CITY JUNCTION FC
R. Lewandowski,ATT,19,KRISHNANAGAR CITY JUNCTION FC
Cristiano Ronaldo,ATT,18,KRISHNANAGAR CITY JUNCTION FC
Vinícius Jr.,ATT,9,KRISHNANAGAR CITY JUNCTION FC
O. Giroud,ATT,3,KRISHNANAGAR CITY JUNCTION FC
Rodrygo,ATT,1,KRISHNANAGAR CITY JUNCTION FC
M. Neuer,GK,20,COOCHBEHAR UNITED FC
K. Koulibaly,DEF,18,COOCHBEHAR UNITED FC
A. Laporte,DEF,8,COOCHBEHAR UNITED FC
K. Walker,DEF,17,COOCHBEHAR UNITED FC
M. Acuña,DEF,9,COOCHBEHAR UNITED FC
M. Hummels,DEF,4,COOCHBEHAR UNITED FC
M. Verratti,MID,13,COOCHBEHAR UNITED FC
Parejo,MID,10,COOCHBEHAR UNITED FC
İ. Gündoğan,MID,15,COOCHBEHAR UNITED FC
N. Fekir,MID,14,COOCHBEHAR UNITED FC
L. Sané,MID,10,COOCHBEHAR UNITED FC
