Player Name,Picture,Base Price,Tier,Pos,Nationality,Rating,Retention Price
E. Haaland,https://cdn.sofifa.net/players/239/085/23_60.png,10 Cr,A,ST,Norway,88,13 Cr
Marquinhos,https://cdn.sofifa.net/players/207/865/23_60.png,10 Cr,A,CB,Brazil,88,13 Cr
João Cancelo,https://cdn.sofifa.net/players/210/514/23_60.png,10 Cr,A,LB,Portugal,88,13 Cr
Rúben Dias,https://cdn.sofifa.net/players/239/818/23_60.png,10 Cr,A,CB,Portugal,88,13 Cr
M. ter Stegen,https://cdn.sofifa.net/players/192/448/23_60.png,10 Cr,A,GK,Germany,88,13 Cr
K. Navas,https://cdn.sofifa.net/players/193/041/23_60.png,10 Cr,A,GK,Costa Rica,88,13 Cr
G. Donnarumma,https://cdn.sofifa.net/players/230/621/23_60.png,10 Cr,A,GK,Italy,88,13 Cr
L. Modrić,https://cdn.sofifa.net/players/177/003/23_60.png,10 Cr,A,CM,Croatia,88,13 Cr
T. Kroos,https://cdn.sofifa.net/players/182/521/23_60.png,10 Cr,A,CM,Germany,88,13 Cr
Bernardo Silva,https://cdn.sofifa.net/players/218/667/23_60.png,10 Cr,A,CAM,Portugal,88,13 Cr
F. de Jong,https://cdn.sofifa.net/players/228/702/23_60.png,10 Cr,A,CM,Netherlands,87,13 Cr
M. Verratti,https://cdn.sofifa.net/players/199/556/23_60.png,10 Cr,A,CM,Italy,87,13 Cr
A. Rüdiger,https://cdn.sofifa.net/players/205/452/23_60.png,10 Cr,A,CB,Germany,87,13 Cr
L. Goretzka,https://cdn.sofifa.net/players/209/658/23_60.png,10 Cr,A,CM,Germany,87,13 Cr
A. Robertson,https://cdn.sofifa.net/players/216/267/23_60.png,10 Cr,A,LB,Scotland,87,13 Cr
H. Lloris,https://cdn.sofifa.net/players/167/948/23_60.png,10 Cr,A,GK,France,87,13 Cr
De Gea,https://cdn.sofifa.net/players/193/080/23_60.png,10 Cr,A,GK,Spain,87,13 Cr
M. Maignan,https://cdn.sofifa.net/players/215/698/23_60.png,10 Cr,A,GK,France,87,13 Cr
Fabinho,https://cdn.sofifa.net/players/209/499/23_60.png,10 Cr,A,CDM,Brazil,87,13 Cr
T. Alexander-Arnold,https://cdn.sofifa.net/players/231/281/23_60.png,10 Cr,A,RB,England,87,13 Cr
K. Koulibaly,https://cdn.sofifa.net/players/201/024/23_60.png,10 Cr,A,CB,Senegal,87,13 Cr
T. Müller,https://cdn.sofifa.net/players/189/596/23_60.png,10 Cr,A,CAM,Germany,87,13 Cr
Rodri,https://cdn.sofifa.net/players/231/866/23_60.png,10 Cr,A,CDM,Spain,87,13 Cr
N. Barella,https://cdn.sofifa.net/players/224/232/23_60.png,6 Cr,B,CM,Italy,86,8 Cr
S. Milinković-Savić,https://cdn.sofifa.net/players/223/848/23_60.png,6 Cr,B,CM,Serbia,86,8 Cr
K. Coman,https://cdn.sofifa.net/players/213/345/23_60.png,6 Cr,B,LM,France,86,8 Cr
M. Brozović,https://cdn.sofifa.net/players/216/352/23_60.png,6 Cr,B,CDM,Croatia,86,8 Cr
Bruno Fernandes,https://cdn.sofifa.net/players/212/198/23_60.png,6 Cr,B,CAM,Portugal,86,8 Cr
Parejo,https://cdn.sofifa.net/players/189/513/23_60.png,6 Cr,B,CM,Spain,86,8 Cr
Thiago,https://cdn.sofifa.net/players/189/509/23_60.png,6 Cr,B,CM,Spain,86,8 Cr
K. Trapp,https://cdn.sofifa.net/players/188/943/23_60.png,6 Cr,B,GK,Germany,86,8 Cr
P. Dybala,https://cdn.sofifa.net/players/211/110/23_60.png,6 Cr,B,CF,Argentina,86,8 Cr
W. Szczęsny,https://cdn.sofifa.net/players/186/153/23_60.png,6 Cr,B,GK,Poland,86,8 Cr
C. Immobile,https://cdn.sofifa.net/players/192/387/23_60.png,6 Cr,B,ST,Italy,86,8 Cr
A. Laporte,https://cdn.sofifa.net/players/212/218/23_60.png,6 Cr,B,CB,Spain,86,8 Cr
Thiago Silva,https://cdn.sofifa.net/players/164/240/23_60.png,6 Cr,B,CB,Brazil,86,8 Cr
D. Alaba,https://cdn.sofifa.net/players/197/445/23_60.png,6 Cr,B,CB,Austria,86,8 Cr
Vinícius Jr.,https://cdn.sofifa.net/players/238/794/23_60.png,6 Cr,B,LW,Brazil,86,8 Cr
M. Škriniar,https://cdn.sofifa.net/players/232/363/23_60.png,6 Cr,B,CB,Slovakia,86,8 Cr
R. Lukaku,https://cdn.sofifa.net/players/192/505/23_60.png,6 Cr,B,ST,Belgium,86,8 Cr
R. Sterling,https://cdn.sofifa.net/players/202/652/23_60.png,6 Cr,B,LW,England,86,8 Cr
